Method,Mean Runtime,Max Runtime,Std Runtime
cpp,0.0006655101918465228,0.002529,0.0005546180512297119
py,0.028000739180011513,0.10618162155151367,0.026740388272161107
nn,0.007046559142011894,0.035202741622924805,0.008528046612163904
